Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
489,Jarred Vanderbilt,PF,19,DEN,17,0,69,9,19,0,1,9,18,6,10,7,16,23,3,6,1,8,8,24
490,Fred VanVleet,PG,24,TOR,64,28,1760,246,600,112,296,134,304,97,115,21,146,167,307,57,20,82,110,701
491,Noah Vonleh,PF,23,NYK,68,57,1722,207,440,46,137,161,303,111,156,113,415,528,129,46,51,88,174,571
492,Nikola Vučević,C,28,ORL,80,80,2510,701,1354,84,231,617,1123,179,227,224,736,960,307,81,89,159,157,1665
493,Dwyane Wade,SG,37,MIA,72,2,1885,416,960,86,261,330,699,165,233,69,216,285,301,59,38,166,118,1083
494,Moritz Wagner,C,21,LAL,43,5,446,71,171,22,77,49,94,43,53,17,68,85,24,11,13,39,57,207
495,Dion Waiters,SG,27,MIA,44,28,1138,198,478,109,289,89,189,22,44,7,109,116,121,29,9,64,72,527
496,Kemba Walker,PG,28,CHO,82,82,2863,731,1684,260,731,471,953,380,450,52,309,361,484,102,34,211,131,2102
497,Lonnie Walker,SG,20,SAS,17,0,118,16,46,5,13,11,33,8,10,0,17,17,9,7,3,4,7,45
498,John Wall,PG,28,WAS,32,32,1104,245,552,51,169,194,383,122,175,15,101,116,279,49,29,121,71,663
499,Tyrone Wallace,PG,24,LAC,62,0,628,92,217,4,19,88,198,30,57,20,81,101,42,21,7,36,83,218
500,Taurean Waller-Prince,SF,24,ATL,55,47,1552,262,594,123,315,139,279,95,116,22,177,199,118,53,19,100,141,742
501,Brad Wanamaker,PG,29,BOS,36,0,343,50,105,16,39,34,66,24,28,3,38,41,56,12,2,19,34,140
502,T.J. Warren,SF,25,PHO,43,36,1360,297,611,77,180,220,431,101,124,31,143,174,64,51,29,52,119,772
503,Julian Washburn,SF,27,MEM,18,3,254,16,48,5,24,11,24,3,4,8,33,41,14,13,2,7,16,40
504,Yuta Watanabe,SF,24,MEM,15,0,174,15,51,2,16,13,35,7,10,4,27,31,8,4,1,6,11,39
505,Thomas Welsh,C,22,DEN,11,0,36,7,13,3,7,4,6,1,2,0,4,4,5,0,0,1,3,18
506,Russell Westbrook,PG,30,OKC,73,73,2630,630,1473,119,411,511,1062,296,451,109,698,807,784,142,33,325,245,1675
507,Derrick White,PG,24,SAS,67,55,1728,260,543,48,142,212,401,95,123,35,212,247,263,67,47,97,145,663
508,Okaro White,PF,26,WAS,3,0,6,0,2,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0
509,Hassan Whiteside,C,29,MIA,72,53,1674,388,680,2,16,386,664,109,243,257,560,817,56,46,136,97,192,887
510,Andrew Wiggins,SF,23,MIN,73,73,2543,498,1209,118,348,380,861,207,296,83,269,352,184,70,48,138,153,1321
511,Alan Williams,PF,26,BRK,5,0,26,8,13,0,1,8,12,2,4,4,15,19,3,1,0,1,2,18
512,C.J. Williams,SG,28,MIN,15,0,128,17,35,5,16,12,19,0,1,1,7,8,12,6,0,5,16,39
513,Johnathan Williams,C,23,LAL,24,0,372,65,110,0,2,65,108,27,48,48,51,99,13,8,7,16,62,157
514,Kenrich Williams,SF,24,NOP,46,29,1079,107,279,52,156,55,123,13,19,55,164,219,83,45,19,36,95,279
515,Lou Williams,SG,32,LAC,75,1,1993,484,1138,105,291,379,847,425,485,40,182,222,402,57,11,181,80,1498
516,Marvin Williams,PF,32,CHO,75,75,2133,275,652,140,382,135,270,66,86,76,331,407,92,71,61,47,156,756
517,Robert Williams,C,21,BOS,32,2,283,36,51,0,0,36,51,9,15,27,54,81,7,9,40,10,36,81
518,Troy Williams,SF,24,SAC,21,0,312,44,98,14,44,30,54,9,15,12,47,59,11,10,8,9,37,111
519,D.J. Wilson,PF,22,MIL,48,3,882,104,251,46,127,58,124,26,47,45,177,222,52,18,20,32,85,280
520,Justise Winslow,SF,22,MIA,66,52,1959,324,749,96,256,228,493,86,137,63,292,355,282,72,19,142,177,830
521,Christian Wood,PF,23,TOT,21,2,251,61,117,9,26,52,91,41,56,17,66,83,8,7,10,17,17,172
522,Delon Wright,PG,26,TOT,75,13,1699,242,558,50,168,192,390,119,150,68,198,266,248,88,30,77,103,653
523,Guerschon Yabusele,PF,23,BOS,41,1,251,35,77,9,28,26,49,15,22,23,30,53,15,8,7,15,32,94
524,Nick Young,SG,33,DEN,4,0,37,3,9,3,8,0,1,0,0,0,1,1,2,0,1,2,4,9
525,Thaddeus Young,PF,30,IND,81,81,2489,443,841,51,146,392,695,87,135,192,331,523,204,123,36,123,194,1024
526,Trae Young,PG,20,ATL,81,81,2503,525,1256,156,482,369,774,343,414,64,237,301,653,72,15,308,140,1549
527,Cody Zeller,C,26,CHO,49,47,1243,190,345,6,22,184,323,111,141,110,223,333,102,38,41,62,164,497
528,Tyler Zeller,C,29,TOT,6,1,93,16,30,0,1,16,29,14,18,11,13,24,4,1,3,4,20,46
529,Ante Žižić,C,22,CLE,59,25,1082,183,331,0,0,183,331,93,132,108,212,320,53,13,22,61,113,459
530,Ivica Zubac,C,21,TOT,59,37,1040,212,379,0,0,212,379,101,126,115,247,362,63,14,51,70,137,525
