Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
382,Rod Strickland,PG,33,WAS,69,67,31.7,4.7,11.0,0.0,0.3,4.7,10.7,3.1,4.4,1.1,2.7,3.8,7.5,1.4,0.3,2.7,2.1,12.6
383,Derek Strong,PF,31,ORL,20,0,7.4,1.1,2.4,0.1,0.2,1.0,2.2,0.6,0.7,0.6,1.7,2.2,0.2,0.3,0.1,0.6,0.8,2.7
384,Bruno Šundov,C,19,DAL,14,0,4.4,0.9,2.2,0.0,0.0,0.9,2.2,0.1,0.1,0.4,0.5,0.9,0.1,0.1,0.1,0.3,1.1,1.9
385,Bob Sura,SG,26,CLE,73,45,30.4,4.9,11.2,1.7,4.5,3.2,6.6,2.4,3.4,0.7,3.3,3.9,3.9,1.2,0.3,2.0,2.8,13.8
386,Wally Szczerbiak,SF,22,MIN,73,53,29.7,4.7,9.2,0.4,1.1,4.3,8.1,1.8,2.2,1.2,2.5,3.7,2.8,0.8,0.3,1.1,2.4,11.6
387,Žan Tabak,C,29,IND,18,0,6.3,0.9,1.9,0.0,0.0,0.9,1.9,0.3,0.4,0.9,0.9,1.8,0.2,0.2,0.5,0.6,0.7,2.1
388,Johnny Taylor,SF,25,TOT,6,0,5.7,0.8,2.3,0.2,0.2,0.7,2.2,0.0,0.0,0.3,0.7,1.0,0.2,0.2,0.2,0.3,0.8,1.8
389,Maurice Taylor,PF,23,LAC,62,60,35.9,7.4,15.9,0.0,0.1,7.4,15.8,2.3,3.2,1.5,4.9,6.5,1.6,0.8,0.8,2.7,3.5,17.1
390,Jason Terry,PG,22,ATL,81,27,23.3,3.1,7.4,0.6,1.9,2.5,5.5,1.4,1.7,0.3,1.8,2.0,4.3,1.1,0.1,1.9,1.6,8.1
391,Jamel Thomas,SF,26,TOT,7,0,6.6,1.1,2.6,0.0,0.4,1.1,2.1,0.1,0.1,0.1,0.6,0.7,0.9,0.1,0.0,0.7,0.3,2.4
392,John Thomas,C,24,TOR,55,6,8.7,0.9,1.9,0.0,0.0,0.9,1.9,0.3,0.7,0.7,0.7,1.4,0.2,0.2,0.3,0.3,1.9,2.1
393,Kenny Thomas,PF,22,HOU,72,29,25.0,2.9,7.4,0.4,1.7,2.5,5.7,1.9,2.9,2.0,4.0,6.1,1.6,0.8,0.3,1.6,2.3,8.3
394,Kurt Thomas,PF,27,NYK,80,21,24.6,3.4,6.7,0.0,0.0,3.4,6.7,1.3,1.6,1.8,4.5,6.3,1.0,0.6,0.5,1.3,3.5,8.0
395,Tim Thomas,SF,22,MIL,80,1,26.2,4.3,9.4,0.8,2.3,3.6,7.1,2.4,3.0,1.3,2.9,4.2,1.4,0.7,0.4,1.6,2.8,11.8
396,Otis Thorpe,PF,37,MIA,51,1,15.2,2.5,4.8,0.0,0.1,2.5,4.7,0.6,0.9,1.1,2.2,3.3,0.6,0.5,0.2,1.2,2.7,5.5
397,Robert Traylor,PF,22,MIL,44,16,10.2,1.3,2.8,0.0,0.1,1.3,2.7,0.9,1.5,1.1,1.5,2.6,0.5,0.6,0.6,0.6,1.8,3.6
398,Gary Trent,SF,25,DAL,11,11,27.4,6.4,12.9,0.0,0.2,6.4,12.7,1.0,1.9,1.8,2.9,4.7,2.0,0.7,0.3,2.3,2.5,13.7
399,Mirsad Türkcan,PF,23,TOT,17,0,5.3,0.8,2.2,0.0,0.4,0.8,1.9,0.3,0.5,0.8,1.2,1.9,0.3,0.2,0.1,0.5,0.8,1.9
400,Wayne Turner,PG,23,BOS,3,0,13.7,0.3,2.0,0.0,0.0,0.3,2.0,0.7,2.0,0.3,0.7,1.0,1.7,0.0,0.0,1.0,1.3,1.3
